ano;disciplina;conteudo
1º ANO ENSINO MÉDIO;FÍSICA;Condições para que um corpo em repouso não entre em movimento
1º ANO ENSINO MÉDIO;FÍSICA;Forças podem alterar o movimento retilíneo dos corpos
1º ANO ENSINO MÉDIO;FÍSICA;Princípio fundamental da dinâmica no estudo de movimentos retilíneos
1º ANO ENSINO MÉDIO;FÍSICA;Movimentos periódicos
1º ANO ENSINO MÉDIO;FÍSICA;Forças podem alterar o movimento circular dos corpos
1º ANO ENSINO MÉDIO;FÍSICA;Gravitação universal
1º ANO ENSINO MÉDIO;FÍSICA;Movimento dos corpos celestes
1º ANO ENSINO MÉDIO;FÍSICA;Grandezas básicas para o estudo da hidrostática
1º ANO ENSINO MÉDIO;FÍSICA;A pressão em diferentes pontos de um fluido
1º ANO ENSINO MÉDIO;FÍSICA;Fluidos aplicando forças
1º ANO ENSINO MÉDIO;FÍSICA;O movimento de um corpo antes, durante, depois de uma interação
1º ANO ENSINO MÉDIO;FÍSICA;Conservação da quantidade de movimento
1º ANO ENSINO MÉDIO;FÍSICA;Conceitos iniciais de Cinemática
1º ANO ENSINO MÉDIO;FÍSICA;Velocidade escalar média
1º ANO ENSINO MÉDIO;FÍSICA;Aceleração escalar média
1º ANO ENSINO MÉDIO;FÍSICA;O estudo do movimento uniforme
1º ANO ENSINO MÉDIO;FÍSICA;Movimentos com variação do vetor velocidade
1º ANO ENSINO MÉDIO;FÍSICA;O estudo do movimento uniformemente variado
1º ANO ENSINO MÉDIO;FÍSICA;Tipos de energia, suas transformações e conservações
1º ANO ENSINO MÉDIO;FÍSICA;As grandezas básicas para o estudo da dinâmica energética
1º ANO ENSINO MÉDIO;FÍSICA;Os teoremas base da dinâmica energética
1º ANO ENSINO MÉDIO;FÍSICA;Os sistemas conservativos
1º ANO ENSINO MÉDIO;FÍSICA;Potência
1º ANO ENSINO MÉDIO;FÍSICA;Movimentos verticais de corpos próximos à superfície da Terra
1º ANO ENSINO MÉDIO;FÍSICA;Lançamentos horizontais ou oblíquos de corpos próximos à superfície da Terra
1º ANO ENSINO MÉDIO;BIOLOGIA;Níveis de organização e conceitos de Ecologia
1º ANO ENSINO MÉDIO;BIOLOGIA;Nutrição dos ecossistemas
1º ANO ENSINO MÉDIO;BIOLOGIA;Dinâmica dos ecossistemas e representações gráficas
1º ANO ENSINO MÉDIO;BIOLOGIA;Ciclo do carbono
1º ANO ENSINO MÉDIO;BIOLOGIA;Ciclo do nitrogênio
1º ANO ENSINO MÉDIO;BIOLOGIA;Dinâmica de populações e de comunidades
1º ANO ENSINO MÉDIO;BIOLOGIA;Ecologia – Interações Ecológicas
1º ANO ENSINO MÉDIO;BIOLOGIA;Ecologia – Poluição
1º ANO ENSINO MÉDIO;BIOLOGIA;Ecologia – Biodiversidade
1º ANO ENSINO MÉDIO;BIOLOGIA;Taxonomia e Sistemática Filogenética
1º ANO ENSINO MÉDIO;BIOLOGIA;Diversidade Biológica – Reino Monera
1º ANO ENSINO MÉDIO;BIOLOGIA;Diversidade Biológica – Vírus
1º ANO ENSINO MÉDIO;BIOLOGIA;Diversidade Biológica – Reino Protista
1º ANO ENSINO MÉDIO;BIOLOGIA;Diversidade Biológica – Reino Fungi
1º ANO ENSINO MÉDIO;BIOLOGIA;Reino Plantae - Briófitas e Pteridófitas
1º ANO ENSINO MÉDIO;BIOLOGIA;Reino Plantae – Gimnospermas
1º ANO ENSINO MÉDIO;BIOLOGIA;Reino Plantae - Angiospermas - Origem e Reprodução
1º ANO ENSINO MÉDIO;BIOLOGIA;Reino Plantae - Angiospermas – Diversidade Biológica
1º ANO ENSINO MÉDIO;BIOLOGIA;Fisiologia Vegetal - Órgãos Vegetais, Crescimento e Nutrição Inorgânica
1º ANO ENSINO MÉDIO;BIOLOGIA;Fisiologia Vegetal -Trocas Gasosas, Transpiração e Condução de Seiva
1º ANO ENSINO MÉDIO;BIOLOGIA;Fisiologia Vegetal – Hormônios Vegetais e Fotoperiodismo
1º ANO ENSINO MÉDIO;BIOLOGIA;Biomas e Biogeografia
1º ANO ENSINO MÉDIO;BIOLOGIA;Introdução ao método científico e à origem da vida
1º ANO ENSINO MÉDIO;BIOLOGIA;Estrutura e tipos básicos de célula
1º ANO ENSINO MÉDIO;BIOLOGIA;A importância da água e dos sais minerais
1º ANO ENSINO MÉDIO;BIOLOGIA;Os carboidratos e os lipídios
1º ANO ENSINO MÉDIO;BIOLOGIA;Proteínas
1º ANO ENSINO MÉDIO;BIOLOGIA;Ácidos Nucleicos
1º ANO ENSINO MÉDIO;BIOLOGIA;Vitaminas
1º ANO ENSINO MÉDIO;BIOLOGIA;Metabolismo Celular – Membrana Plasmática e Transportes
1º ANO ENSINO MÉDIO;BIOLOGIA;Metabolismo Celular – Citoplasma
1º ANO ENSINO MÉDIO;BIOLOGIA;Bioenergética – Fermentação
1º ANO ENSINO MÉDIO;BIOLOGIA;Bioenergética - Respiração Celular
1º ANO ENSINO MÉDIO;BIOLOGIA;Bioenergética – Fotossíntese
1º ANO ENSINO MÉDIO;GEOGRAFIA;Noções espaciais
1º ANO ENSINO MÉDIO;GEOGRAFIA;Cartografia
1º ANO ENSINO MÉDIO;GEOGRAFIA;Brasil: território e fronteiras
1º ANO ENSINO MÉDIO;GEOGRAFIA;Fusos horários
1º ANO ENSINO MÉDIO;GEOGRAFIA;Decifrando o interior da Terra
1º ANO ENSINO MÉDIO;GEOGRAFIA;Rochas e minerais
1º ANO ENSINO MÉDIO;GEOGRAFIA;Construção do relevo
1º ANO ENSINO MÉDIO;GEOGRAFIA;Relevo do Brasil e análise dos solos
1º ANO ENSINO MÉDIO;GEOGRAFIA;Recursos minerais não energéticos no mundo e no Brasil
1º ANO ENSINO MÉDIO;GEOGRAFIA;Recursos minerais não energéticos no Brasil
1º ANO ENSINO MÉDIO;GEOGRAFIA;Tempo e clima
1º ANO ENSINO MÉDIO;GEOGRAFIA;Climas brasileiros
1º ANO ENSINO MÉDIO;GEOGRAFIA;Fenômenos atmosféricos
1º ANO ENSINO MÉDIO;GEOGRAFIA;Mudanças Climáticas
1º ANO ENSINO MÉDIO;GEOGRAFIA;Domínios vegetais
1º ANO ENSINO MÉDIO;GEOGRAFIA;Desmatamento e suas implicações
1º ANO ENSINO MÉDIO;GEOGRAFIA;Distribuição e a escassez de água na terra
1º ANO ENSINO MÉDIO;GEOGRAFIA;Bacias hidrográficas
1º ANO ENSINO MÉDIO;GEOGRAFIA;Domínios Morfoclimáticos
1º ANO ENSINO MÉDIO;GEOGRAFIA;Combustíveis Fósseis
1º ANO ENSINO MÉDIO;GEOGRAFIA;Energia elétrica no Brasil
1º ANO ENSINO MÉDIO;HISTÓRIA;Grécia Antiga
1º ANO ENSINO MÉDIO;HISTÓRIA;Roma Antiga
1º ANO ENSINO MÉDIO;HISTÓRIA;Alta Idade Média
1º ANO ENSINO MÉDIO;HISTÓRIA;Baixa Idade Média
1º ANO ENSINO MÉDIO;HISTÓRIA;Crise e expansão marítima
1º ANO ENSINO MÉDIO;HISTÓRIA;O mundo diante da expansão europeia
1º ANO ENSINO MÉDIO;HISTÓRIA;Renascimento cultural e Reforma religiosa
1º ANO ENSINO MÉDIO;HISTÓRIA;Absolutismo
1º ANO ENSINO MÉDIO;HISTÓRIA;Formação do Brasil colônia
1º ANO ENSINO MÉDIO;HISTÓRIA;Brasil: administração colonial
1º ANO ENSINO MÉDIO;HISTÓRIA;Brasil: Cultura, integração e resistência
1º ANO ENSINO MÉDIO;HISTÓRIA;Brasil: Guerra e acomodação
1º ANO ENSINO MÉDIO;HISTÓRIA;América Colonial: América inglesa
1º ANO ENSINO MÉDIO;HISTÓRIA;América Colonial: o mundo atlântico
1º ANO ENSINO MÉDIO;HISTÓRIA;Brasil: formação territorial
1º ANO ENSINO MÉDIO;HISTÓRIA;Brasil: mineração colonial
1º ANO ENSINO MÉDIO;HISTÓRIA;América colonial: mineração e administração
1º ANO ENSINO MÉDIO;HISTÓRIA;Brasil: guerra e agitação
1º ANO ENSINO MÉDIO;HISTÓRIA;Idade Moderna: pensamento político (XVII, XVIII)
1º ANO ENSINO MÉDIO;HISTÓRIA;Idade Moderna: crise do Antigo Sistema Colonial
1º ANO ENSINO MÉDIO;HISTÓRIA;Idade Moderna: crise do Antigo Sistema Colonial (EUA)
1º ANO ENSINO MÉDIO;HISTÓRIA;Revolução Industrial
1º ANO ENSINO MÉDIO;HISTÓRIA;Idade Contemporânea: Revolução Francesa e criação da ordem liberal
1º ANO ENSINO MÉDIO;HISTÓRIA;Idade Contemporânea: independências na América espanhola
1º ANO ENSINO MÉDIO;HISTÓRIA;Independência do Brasil: período joanino
1º ANO ENSINO MÉDIO;HISTÓRIA;Independência do Brasil: regência de Pedro I
1º ANO ENSINO MÉDIO;HISTÓRIA;Formação do Estado brasileiro: 1º Reinado e período regencial
1º ANO ENSINO MÉDIO;FILOSOFIA;Introdução à Filosofia
1º ANO ENSINO MÉDIO;FILOSOFIA;O que é Filosofia?
1º ANO ENSINO MÉDIO;FILOSOFIA;Mito e Filosofia
1º ANO ENSINO MÉDIO;FILOSOFIA;Os pré-socráticos
1º ANO ENSINO MÉDIO;FILOSOFIA;Sócrates e o nascimento da Filosofia
1º ANO ENSINO MÉDIO;FILOSOFIA;Teoria do conhecimento
1º ANO ENSINO MÉDIO;FILOSOFIA;Platão e o mundo das ideias
1º ANO ENSINO MÉDIO;FILOSOFIA;Aristóteles e o mundo sensível
1º ANO ENSINO MÉDIO;FILOSOFIA;Filosofia medieval
1º ANO ENSINO MÉDIO;FILOSOFIA;As ciências
1º ANO ENSINO MÉDIO;FILOSOFIA;Descartes e o racionalismo
1º ANO ENSINO MÉDIO;FILOSOFIA;O empirismo
1º ANO ENSINO MÉDIO;FILOSOFIA;Kant e o criticismo
1º ANO ENSINO MÉDIO;FILOSOFIA;Introdução à Lógica
1º ANO ENSINO MÉDIO;FILOSOFIA;A verdade
1º ANO ENSINO MÉDIO;FILOSOFIA;SOCIOLOGIA
1º ANO ENSINO MÉDIO;FILOSOFIA;Indivíduo e sociedade
1º ANO ENSINO MÉDIO;FILOSOFIA;Coerções sociais
1º ANO ENSINO MÉDIO;FILOSOFIA;Instituições sociais
1º ANO ENSINO MÉDIO;FILOSOFIA;Identidade e alteridade
1º ANO ENSINO MÉDIO;FILOSOFIA;Estratificação social
1º ANO ENSINO MÉDIO;FILOSOFIA;Liberdade, propriedade, fraternidade
1º ANO ENSINO MÉDIO;FILOSOFIA;Indivíduo e sociedade
1º ANO ENSINO MÉDIO;FILOSOFIA;Coerções sociais
1º ANO ENSINO MÉDIO;FILOSOFIA;Instituições sociais
1º ANO ENSINO MÉDIO;FILOSOFIA;Identidade e alteridade
1º ANO ENSINO MÉDIO;FILOSOFIA;Estratificação social
1º ANO ENSINO MÉDIO;FILOSOFIA;Liberdade, propriedade, fraternidade
1º ANO ENSINO MÉDIO;CICLO ACADÊMICO BÁSICO;Prática de argumentação
1º ANO ENSINO MÉDIO;CICLO ACADÊMICO BÁSICO;Problema e suas causas
1º ANO ENSINO MÉDIO;CICLO ACADÊMICO BÁSICO;Buscando informações em textos de apoio
1º ANO ENSINO MÉDIO;CICLO ACADÊMICO BÁSICO;História e atualidades – contextualização
1º ANO ENSINO MÉDIO;CICLO ACADÊMICO BÁSICO;Debate – contextualização
1º ANO ENSINO MÉDIO;CICLO ACADÊMICO BÁSICO;Causas e consequências
1º ANO ENSINO MÉDIO;CICLO ACADÊMICO BÁSICO;Proposta de intervenção: agente e ação
1º ANO ENSINO MÉDIO;CICLO ACADÊMICO BÁSICO;Proposta de intervenção: finalidade
1º ANO ENSINO MÉDIO;CICLO ACADÊMICO BÁSICO;Articulando ideia: coesão referencial
1º ANO ENSINO MÉDIO;CICLO ACADÊMICO BÁSICO;Articulando ideia: coesão sequencial
1º ANO ENSINO MÉDIO;CICLO ACADÊMICO BÁSICO;Estabelecendo analogias
1º ANO ENSINO MÉDIO;CICLO ACADÊMICO BÁSICO;Elaborando paráfrases
